Campaign Name,Community Name,Heading,Sub-Heading,Country,Code,Zakat Eligibility
Rashida4Shaam,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Ajwad - Orphan Sponsorship [1yr],AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan",SPN-SYR-ORP,Zakat
Samara - Orphan Sponsorship [1yr],AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,Syria,SPN-SYR-ORP,Zakat
Reviving The Ummah,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,"Syria,Afghanistan",SPN-ALL-HUF,Zakat
Active Dawah,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Kamrul,Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Umm Ismaeel - Orphan Sponsorship [1yr],AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,Syria,SPN-SYR-ORP,Zakat
Umm Mujahid - orphan Sponsorship (1yr),AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,Syria,SPN-SYR-ORP,Zakat
Abu Ahmed,AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan",SPN-SYR-ORP,Zakat
Adam@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Abu Khalid - Hifdh Sponsorship [1yr],AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Syria,SPN-SYR-HUF,Zakat
Umair@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Ismail Orphan Sponsorship,AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan",SPN-SYR-ORP,Zakat
Farhan - Hifdh Sponsorhip (1yr),AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Syria,SPN-SYR-HUF,Non-Zakat
Maryam's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Abdul Shohid - Hifdh sponsorship (1yr),AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Syria,SPN-SYR-HUF,Zakat
Ismail - Hifdh sponsorship (1yr),AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Mehmuna@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Musa Adnan@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Misbah@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Idris and Dawud Orphan Sponsorship (1 yr),AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan",SPN-SYR-ORP,Zakat
Help Syria's Future leaders,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Team Muslim Power for Gaza.,Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,General Fund,Most Needed / Flexible Allocation,Gaza,MST-GAZ,Zakat
Qurbani 2025 - Rethink Charity,Qurbani 2025,Seasonal & Annual Campaigns,Qurbani,"Syria,Afghanistan,Yemen",SEA-ALL-QUR,Zakat
Safwaan - Orphan Sponsorship,AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,"Syria,Afghanistan",MST-SYR,Zakat
Liberated Lands Challenge,TEAM SISTERS' PROJECT,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Barber Chop,AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan",SPN-MTC-ORP,Zakat
Nada's the Liberated Lands Challenge,TEAM SISTERS' PROJECT,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Nazia for Shaam,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Ismail - Orphan sponsorship (1yr),AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan",SPN-SYR-ORP,Zakat
AnsÄrÄ«yyah Group,AnsÄrÄ«yyah of the Ummah,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Donate for Syria,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Support the Liberated Lands,The Greater Shaam Project,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Yahya - Hifdh sponsorship (1yr),AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Syria,SPN-SYR-HUF,Non-Zakat
Yahya Qurbani page,AshbÄl Al-Ummah,Seasonal & Annual Campaigns,Qurbani,"Syria,Afghanistan,Yemen",SEA-ALL-QUR,Zakat
Join Motaz Azaizaâ€™s Mission: Help 33 Gaza Students Become Doctors,Unassigned,General Fund,Most Needed / Flexible Allocation,Gaza,MST-GAZ,Zakat
Syria Qurbani Deployment,AshbÄl Al-Ummah,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
Ale Imran's Liberated Lands Challenge,TEAM SISTERS' PROJECT,Infrastructure,Masjid Construction,Syria,MAS-SYR,Non-Zakat
SISTERSâ€™ PROJECT: MOST NEEDY,TEAM SISTERS' PROJECT,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Ibrar@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Revival Of Greater Syria,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Siraj@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
AshbÄl Orphanage,Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan",SPN-ALL-ORP,Zakat
Shahid Shah@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Ayman@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Dawud@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Suheil@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Tayeba's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Osama and Rayyan,AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan",SPN-SYR-ORP,Zakat
Al-Hikmah Kids Academy,TEAM SISTERS' PROJECT,One-Off Projects,Hafiz Teacher Sponsorship,"Syria,Afghanistan",ONE-AFG-HAF,Non-Zakat
Laveeza@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Palestine,Afghanistan",MST-SYR,Zakat
Mumtaz Moosa@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Rebuilding Syria's Future,Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Ash Quraishi@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan,General / Multi-Country",MST-SYR,Zakat
Give and Reap this Ramadan,TEAM SISTERS' PROJECT,Seasonal & Annual Campaigns,Unassigned,"Syria,Afghanistan,Palestine",MST-ALL,Zakat
Naheeda's Last 10 nights for Masjid in Ghouta,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Sarfraz@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Maryam@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Usama - Orphan sponsorship (1yr),AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Zareena@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Nazmin@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Esfand Sheikn@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
EÄ«d Clothes & Toys 4 Children in ShÄm,AshbÄl Al-Ummah,Seasonal & Annual Campaigns,Eid Party,Syria,SEA-SYR-EID,Non-Zakat
Tigerstyle MMA Orphan Sponsorship (1yr),AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan",SPN-ALL-ORP,Zakat
Farzana@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Sanaa@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Summaya@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Palestine,Afghanistan,Gaza",MST-SYR,Zakat
Jumel@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Haamid@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Zahra@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Poplar Brotherhood Masjid in GhÅ«tah - Syria,AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Aayan@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Abdur Rahman - Hifdh sponsorship (1yr),AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Umayr@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Rethink Charity - Empowering Palestinian Doctors,Rethink Charity x OxPal,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Suni Hifdh Sponsorship (1yr),AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Syria,SPN-SYR-HUF,Non-Zakat
Moazzam@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Palestine,Afghanistan",MST-ALL,Zakat
Salihah@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Afghanistan,General / Multi-Country",MST-SYR,Zakat
Umaymah@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Ahmed Rouf@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-ALL,Zakat
Build a water well in Afghanistan! - AshbÄl Al-Ummah,AshbÄl Al-Ummah,Water,Unassigned,Afghanistan,WAT-AFG,Zakat
"DR UMM ABDULLAH'S ASH SHAAM TORCH BEARERS PROJECT, LETS ENLIGHTEN THE FUTURE OF THE UMMAH",TEAM SISTERS' PROJECT,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Project Torchbearers: Nurturing a New Generation of Leaders,TEAM SISTERS' PROJECT,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Asiaâ€™s orphans fundraiser- raising future torchbearers InshaAllah,TEAM SISTERS' PROJECT,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Oxford Quran,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Afghanistan,SPN-AFG-HUF,Non-Zakat
gaza,Syrian & Gazan Challenge,Seasonal & Annual Campaigns,Iftar,"Syria,Gaza",SEA-ALL-IFT,Zakat
Sabana@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Tuma - Rebuilding Syrias Future,Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Fathima's fundraiser for Rethink Torchbearers,TEAM SISTERS' PROJECT,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
AshbÄl Orphan - Orphan Sponsorship,AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan",SPN-ALL-ORP,Zakat
Ashura - 3rd Hifdh Sponsorship!,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Afghanistan,SPN-AFG-HUF,Zakat
ðŸ† SPORTS4LIFE:  Make our Orphans in Shaam smile again!,TEAM SISTERS' PROJECT,Sponsorships,Orphan Sponsorship,Syria,SPN-SYR-ORP,Zakat
Dilwar - Afghanistan deployment,AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,"Syria,Afghanistan",MST-SYR,Non-Zakat
Afghan Classroom in Kunar,AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Ulfa & Friends for a future Torchbearer,TEAM SISTERS' PROJECT,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Help Us Gift 200 New Qurâ€™ans to a Madrasah in Afghanistan,AshbÄl Al-Ummah,Quran Distribution,Unassigned,Afghanistan,QRN-AFG,Non-Zakat
Friday Challenge â€“ Carriers of the Qurâ€™Än,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Afghanistan,SPN-AFG-HUF,Zakat
Safwan â€“ Carriers of the Qurâ€™Än,AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Yahya â€“ Carriers of the Qurâ€™Än,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Afghanistan,SPN-AFG-HUF,Zakat
Mihad Tutors - Hifdh Sponsorship [1yr],AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Syria,SPN-SYR-HUF,Zakat
Umm Ismaeel â€“ Carriers of the Qurâ€™Än,AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,Afghanistan,MST-AFG,Non-Zakat
Hamza â€“ Carriers of the Qurâ€™Än,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Afghanistan,SPN-AFG-HUF,Non-Zakat
Farhan  â€“ Carriers of the Qurâ€™Än,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Afghanistan,SPN-AFG-HUF,Zakat
Ajwad - Carriers of the Qurâ€™Än,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Afghanistan,SPN-AFG-HUF,Zakat
Help me build a home for the needy in Afghanistan,AFGHANISTAN,Village Project,Village Houses,Afghanistan,VIL-AFG-HOU,Non-Zakat
Restore Bianoon Big Masjid.,Bianoon,Village Project,Village Masjid / Village Mosque,Syria,VIL-SYR-MOS,Non-Zakat
"Build a WudÅ«â€™ Area at Madrasah DÄrul ImÄn â€“ Kabul, Afghanistan",AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,Afghanistan,MST-AFG,Non-Zakat
Help Bring Light to the Future of Islamic Scholars in Kabul!,AshbÄl Al-Ummah,Infrastructure,Solar Panels,Afghanistan,INF-AFG-SOL,Non-Zakat
Hasanat Friday Challenge â€“ Carriers of the Qurâ€™Än,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Syria,SPN-SYR-HUF,Non-Zakat
Abu Ismail Friday Challenge â€“ Carriers of the Qurâ€™Än,AshbÄl Al-Ummah,One-Off Projects,Hafiz Teacher Sponsorship,Afghanistan,ONE-AFG-HAF,Zakat
Yahya Friday Challenge â€“ Carriers of the Qurâ€™Än,AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Fahim - Orphan Sponsorship [1yr],AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,Syria,SPN-SYR-ORP,Zakat
Ataa - Restoring Bianoon Masjid!,Bianoon,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Mohammed Javeed - Restoring Bianoon Masjid!,Bianoon,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Bilal - Restoring Bianoon Masjid!,Bianoon,Village Project,Village Masjid / Village Mosque,Syria,VIL-SYR-MOS,Non-Zakat
Kamrul - Restoring Bianoon Masjid!,Bianoon,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Jabed - Restoring Bianoon Masjid!,Bianoon,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Riyadh - Restoring Bianoon Masjid!,Bianoon,Village Project,Village Masjid / Village Mosque,Syria,VIL-SYR-MOS,Non-Zakat
Nazmul - Restoring Bianoon Masjid!,Bianoon,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Hanzalah - Restoring Bianoon Masjid!,Bianoon,Village Project,Village Masjid / Village Mosque,Syria,VIL-SYR-MOS,Non-Zakat
Abu Khalid Friday Challenge â€“ Carriers of the Qurâ€™Än,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Syria,SPN-SYR-HUF,Non-Zakat
Imthiaz - Restoring Bianoon Masjid!,Bianoon,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Yusuf - Restoring Bianoon Masjid!,Bianoon,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Saifullah - Restoring Bianoon Masjid!,Bianoon,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Ajwad  - Restoring Bianoon Masjid!,Bianoon,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Muhammed Azizur - Restoring Bianoon Masjid!,Bianoon,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Eleanor's Fundraiser - Oxford Training for Palestinian Doctors,Rethink Charity x OxPal,One-Off Projects,Unassigned,Gaza,ONE-GAZ-DOC,Non-Zakat
Abu Ismaeel Friday Challenge â€“ Carriers of the Qurâ€™Än,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Syria,SPN-SYR-HUF,Non-Zakat
Reza - Restoring Bianoon Masjid!,Bianoon,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Refurbish a Quran Hifdh Classroom - AshbÄl Afghanistan Madrasah,AshbÄl Al-Ummah,One-Off Projects,Hafiz Teacher Sponsorship,Afghanistan,ONE-AFG-HAF,Non-Zakat
Safwan Friday Challenge â€“ Carriers of the Qurâ€™Än,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Syria,SPN-SYR-HUF,Zakat
Shahid - Restoring Bianoon Masjid!,Bianoon,Village Project,Village Masjid / Village Mosque,Syria,VIL-SYR-MOS,Non-Zakat
Raihan - Restoring Bianoon Masjid!,Bianoon,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Usamah - Restoring Bianoon Masjid!,Bianoon,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Ismail - Restoring Bianoon Masjid!,Bianoon,General Fund,Most Needed / Flexible Allocation,"Gaza,Syria",MST-GAZ,Zakat
Salam - Restoring Bianoon Masjid!,Bianoon,Village Project,Village Masjid / Village Mosque,Syria,VIL-SYR-MOS,Non-Zakat
Aminaâ€™s and Waheeds bilad ash shaam project,TEAM SISTERS' PROJECT,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Tyeeba umm Mujahidah for Syria,TEAM SISTERS' PROJECT,Emergency Aid,Unassigned,Syria,EMR-SYR,Zakat
Islamic Classroom Kunar Mountain,AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,Afghanistan,SPN-AFG-ORP,Zakat
Oxford Quran (2nd Student),AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Umm Mujahid - Orphan Sponsorship [1yr],AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan",SPN-SYR-ORP,Zakat
AshbÄl Orphan - Orphan Sponsorship (Syria),AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan",SPN-SYR-ORP,Zakat
Rethink Friday Challenge #1,AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Osman Quran Challenge,AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Abu Ismail Quran Challenge,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,"Syria,Afghanistan",SPN-ALL-HUF,Zakat
BROTHERS SEEKING KHAIR,Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
AJ Quran Challenge,AshbÄl Al-Ummah,Quran Distribution,Unassigned,Syria,QRN-SYR,Non-Zakat
Kamrul Quran Challenge,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,"Syria,Afghanistan",SPN-ALL-HUF,Zakat
Rethink Friday Challenge #2,AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Abu Ismail Friday Challenge!,AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Yahya Friday Challenge!,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Afghanistan,SPN-AFG-HUF,Non-Zakat
Oxford Quran (3rd Student),AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Afghanistan,SPN-AFG-HUF,Non-Zakat
Help Build AshbÄl Al-Ummah Madrasah in KunÄr Province,AshbÄl Al-Ummah,One-Off Projects,Madrasa,Afghanistan,ONE-AFG-MAD,Non-Zakat
ðŸŽŸ Tickets to Paradise â€“ Support the Most Needy,Rethink Charity,Emergency Aid,Most Needed / Flexible Allocation,"Gaza,Syria,Afghanistan",EMR-GAZ,Zakat
Reviving a Sacred Space: The Abdulrahman Bin Awf Masjid Restoration,Rethink Mosque Fund,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Abu Ismail Quran Challenge!,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Afghanistan,SPN-AFG-HUF,Zakat
Sami - Restoring Bianoon Masjid!,Bianoon,Village Project,Village Masjid / Village Mosque,Syria,VIL-SYR-MOS,Non-Zakat
Abdullah Wahid - Quran Challenge,AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Help Rebuild Kunar after the Earthquake!,AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,Afghanistan,MST-AFG,Zakat
5pillars - Football Tops,Poplar Brotherhood,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Oxford Quran (4th Student!),AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Help Coalsuma to build a home for the needy!,TEAM SISTERS' PROJECT,Village Project,Village Houses,Syria,VIL-SYR-HOU,Zakat
Oxford Quran (5th Student!),AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,"Syria,Afghanistan",SPN-SYR-HUF,Zakat
Shaz - Tour du Maroc,Tour-du-Maroc,Sponsorships,Orphan Sponsorship,Syria,SPN-SYR-ORP,Zakat
Yahya Quran Challenge!,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Afghanistan,SPN-AFG-HUF,Zakat
Zainab's Fundraiser - Oxford Training for Palestinian Doctors,Rethink Charity x OxPal,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Syria Hifdh Sponsorship,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Syria,SPN-SYR-HUF,Zakat
Sponsor Qur'Än Teacher,AshbÄl Al-Ummah,One-Off Projects,Hafiz Teacher Sponsorship,Afghanistan,ONE-AFG-HAF,Non-Zakat
Hasan - Share the Khair Hike!,TEAM SHARE THE KHAIR!,Emergency Aid,Unassigned,"Syria,Gaza,Afghanistan",EMR-ALL,Zakat
Atiq - Share the Khair Hike!,TEAM SHARE THE KHAIR!,Emergency Aid,Unassigned,"Syria,Gaza,Afghanistan",EMR-ALL,Zakat
Umar - Share the Khair Hike!,TEAM SHARE THE KHAIR!,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Asad - Hifdh Sponsorships,AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Afghanistan,SPN-AFG-HUF,Non-Zakat
Sajeel Auntie - Water Well Afghanistan,AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,Afghanistan,MST-AFG,Non-Zakat
Shadnan - Share the Khair Hike!,TEAM SHARE THE KHAIR!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Miraj - Share the Khair Hike!,TEAM SHARE THE KHAIR!,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Quran Friday Challenge,AshbÄl Al-Ummah,Quran Distribution,Unassigned,Afghanistan,QRN-AFG,Non-Zakat
Quran Hifdh Sponsorship [1yr],AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Afghanistan,SPN-AFG-HUF,Zakat
Layth - Share the Khair Hike!,TEAM SHARE THE KHAIR!,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
AJ - Share the Khair Hike!,TEAM SHARE THE KHAIR!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
EYE CARE & DENTAL AID MISSION TO SYRIA,HMR,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
New AshbÄl Masjid in Afghanistan,AshbÄl Al-Ummah,Masjid General,Unassigned,Afghanistan,MAS-AFG,Non-Zakat
Kinaan Salaam for Palestine,Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,Emergency Aid,Unassigned,Gaza,EMR-GAZ,Zakat
Abdullah Adeel - Share the Khair Hike!,TEAM SHARE THE KHAIR!,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
